"Date","Price","Open","High","Low","Vol.","Change %"
"08/16/2021","8.9635","8.9595","8.9709","8.9530","40.65K","-0.14%"
"08/13/2021","8.9757","8.9885","8.9903","8.9570","12.37K","-0.13%"
"08/12/2021","8.9870","8.9950","9.0025","8.9748","68.49K","-0.07%"
"08/11/2021","8.9937","8.9797","9.0077","8.9759","54.66K","0.17%"
"08/10/2021","8.9780","8.9704","8.9963","8.9673","62.83K","0.11%"
"08/09/2021","8.9685","8.9720","8.9848","8.9571","58.86K","-0.01%"
"08/06/2021","8.9695","8.9363","8.9768","8.9306","51.12K","0.42%"
"08/05/2021","8.9324","8.9334","8.9468","8.9237","66.34K","-0.02%"
"08/04/2021","8.9345","8.9206","8.9407","8.9089","46.68K","0.15%"
"08/03/2021","8.9208","8.9178","8.9321","8.9062","54.38K","0.11%"
"08/02/2021","8.9113","8.9215","8.9266","8.9058","34.41K","0.26%"
"07/30/2021","8.8881","8.8957","8.8957","8.8951","0.12K","-0.01%"
"07/29/2021","8.8890","8.9302","8.9384","8.8960","78.81K","-0.39%"
"07/28/2021","8.9234","8.9323","8.9710","8.9182","99.66K","-0.02%"
"07/27/2021","8.9256","8.9491","8.9694","8.9314","100.75K","-0.19%"
"07/26/2021","8.9424","8.9715","8.9770","8.9320","99.12K","-0.29%"
"07/23/2021","8.9686","8.9695","8.9817","8.9534","131.64K","0.03%"
"07/22/2021","8.9660","8.9532","8.9791","8.9366","80.78K","0.17%"
"07/21/2021","8.9504","8.9592","8.9812","8.9441","138.32K","-0.06%"
"07/20/2021","8.9554","8.9619","8.9829","8.9501","93.50K","-0.04%"
"07/19/2021","8.9594","8.9543","8.9770","8.9430","99.40K","0.08%"
"07/16/2021","8.9524","8.9505","8.9636","8.9353","125.71K","0.05%"
"07/15/2021","8.9480","8.9417","8.9619","8.9233","130.08K","0.15%"
"07/14/2021","8.9350","8.9690","8.9754","8.9269","119.74K","-0.35%"
"07/13/2021","8.9663","8.9305","8.9749","8.9157","159.46K","0.40%"
"07/12/2021","8.9305","8.9146","8.9456","8.9004","99.10K","0.03%"
"07/09/2021","8.9276","8.9408","8.9498","8.9118","118.28K","-0.07%"
"07/08/2021","8.9340","8.9616","8.9733","8.9197","125.11K","-0.28%"
"07/07/2021","8.9595","8.9507","8.9725","8.9308","192.14K","0.18%"
"07/06/2021","8.9436","8.9298","8.9600","8.9084","163.60K","0.21%"
"07/05/2021","8.9248","8.9253","8.9386","8.9090","90.22K","0.00%"
"07/02/2021","8.9245","8.9356","8.9592","8.9193","147.97K","-0.04%"
"07/01/2021","8.9285","8.9299","8.9464","8.9159","164.44K","0.02%"
"06/30/2021","8.9268","8.9107","8.9403","8.8993","132.00K","0.22%"
"06/29/2021","8.9069","8.8971","8.9256","8.8860","137.08K","0.16%"
"06/28/2021","8.8929","8.9046","8.9138","8.8851","87.51K","-0.03%"
"06/25/2021","8.8960","8.9027","8.9094","8.8785","152.50K","-0.05%"
"06/24/2021","8.9002","8.9025","8.9135","8.8833","146.01K","0.10%"
"06/23/2021","8.8915","8.8965","8.9199","8.8770","147.70K","-0.03%"
"06/22/2021","8.8940","8.9080","8.9314","8.8838","172.56K","0.00%"
"06/21/2021","8.8940","8.9208","8.9384","8.8883","125.89K","-0.40%"
"06/18/2021","8.9298","8.9189","8.9490","8.8996","94.74K","0.14%"
"06/17/2021","8.9170","8.8805","8.9306","8.8711","89.11K","0.44%"
"06/16/2021","8.8780","8.8220","8.8853","8.8048","123.07K","0.79%"
"06/15/2021","8.8086","8.8395","8.8449","8.8060","86.17K","-0.26%"
"06/14/2021","8.8318","8.8550","8.8668","8.8271","59.40K","-0.07%"
"06/11/2021","8.8376","8.8146","8.8664","8.8014","110.91K","0.29%"
"06/10/2021","8.8120","8.8155","8.8450","8.8081","100.07K","-0.01%"
"06/09/2021","8.8129","8.8282","8.8337","8.8011","109.07K","-0.14%"
"06/08/2021","8.8254","8.8069","8.8368","8.7992","88.61K","0.09%"
"06/07/2021","8.8176","8.8213","8.8440","8.7980","70.23K","-0.05%"
"06/04/2021","8.8223","8.8525","8.8708","8.8181","153.48K","-0.32%"
"06/03/2021","8.8509","8.8256","8.8705","8.8112","144.47K","0.36%"
"06/02/2021","8.8189","8.8284","8.8518","8.8034","140.72K","-0.03%"
"06/01/2021","8.8214","8.8217","8.8423","8.7970","158.87K","-0.04%"
"05/31/2021","8.8251","8.8197","8.8558","8.8146","106.27K","-0.06%"
"05/28/2021","8.8301","8.8406","8.8794","8.8188","154.87K","-0.10%"
"05/27/2021","8.8390","8.8360","8.8541","8.8099","129.43K","0.06%"
"05/26/2021","8.8335","8.7921","8.8462","8.7798","146.10K","0.50%"
"05/25/2021","8.7895","8.8218","8.8251","8.7819","99.01K","-0.29%"
"05/24/2021","8.8148","8.8290","8.8369","8.7991","114.94K","-0.02%"
"05/21/2021","8.8165","8.8125","8.8421","8.7956","142.95K","0.07%"
"05/20/2021","8.8100","8.8340","8.8409","8.8004","141.36K","-0.24%"
"05/19/2021","8.8310","8.8010","8.8449","8.7878","152.83K","0.37%"
"05/18/2021","8.7984","8.8449","8.8449","8.7927","198.13K","-0.44%"
